t_ms,pwm_cmd,rpm_actual,pwm_output
691200,150,-49.5
691300,150,-50.1
691400,150,-50.1
691500,120,-49.6
691600,120,-48.3
691700,120,-46.6
691800,120,-45.5
691900,120,-46.0
692000,120,-45.9
692100,120,-45.5
692200,120,-46.0
692300,120,-46.0
692400,120,-45.5
692500,120,-46.0
692600,120,-45.9
692700,120,-45.5
692800,120,-45.9
692900,120,-46.0
693000,150,-45.7
693100,150,-47.6
693200,150,-49.5
693300,150,-49.4
693400,150,-50.0
693500,150,-50.1
693600,150,-49.7
693700,150,-50.1
693800,150,-50.1
693900,150,-49.6
694000,150,-50.1
694100,150,-50.1
694200,150,-49.6
694300,150,-50.1
694400,150,-49.7
694500,30,-50.3
694600,30,-43.9
694700,30,-32.7
694800,30,-24.7
694900,30,-18.5
695000,30,-13.8
695100,30,-10.6
695200,30,-8.2
695300,30,-6.4
695400,30,-5.4
695500,30,-4.5
695600,30,-3.8
695700,30,-3.7
695800,30,-3.3
695900,30,-3.2
696000,90,-3.2
696100,90,-13.6
696200,90,-25.9
696300,90,-31.9
696400,90,-34.4
696500,90,-35.5
696600,90,-36.6
696700,90,-37.0
696800,90,-36.9
696900,90,-37.5
697000,90,-37.5
697100,90,-37.2
697200,90,-37.8
697300,90,-37.8
697400,90,-37.4
697500,150,-37.9
697600,150,-42.9
697700,150,-48.5
697800,150,-49.7
697900,150,-49.5
698000,150,-50.3
698100,150,-50.1
698200,150,-49.7
698300,150,-50.1
698400,150,-50.3
698500,150,-49.7
698600,150,-50.3
698700,150,-50.3
698800,150,-49.6
698900,150,-50.1
699000,120,-50.1
699100,120,-48.0
699200,120,-46.7
699300,120,-45.5
699400,120,-45.7
699500,120,-46.0
699600,120,-45.9
699700,120,-45.5
699800,120,-46.0
699900,120,-45.9
700000,120,-45.5
700100,120,-46.0
700200,120,-46.0
700300,120,-45.5
700400,120,-46.0
700500,150,-46.0
700600,150,-47.2
700700,150,-49.4
700800,150,-49.4
700900,150,-50.0
701000,150,-50.1
701100,150,-49.5
701200,150,-50.1
701300,150,-50.1
701400,150,-49.6
701500,150,-50.1
701600,150,-50.1
701700,150,-49.6
701800,150,-50.1
701900,150,-50.1
702000,30,-49.6
702100,30,-43.9
702200,30,-32.9
702300,30,-24.2
702400,30,-18.4
702500,30,-13.6
702600,30,-10.3
702700,30,-8.0
702800,30,-6.5
702900,30,-5.1
703000,30,-4.5
703100,30,-4.0
703200,30,-3.6
703300,30,-3.4
703400,30,-3.2
703500,120,-3.2
703600,120,-19.6
703700,120,-36.2
703800,120,-41.2
703900,120,-43.7
704000,120,-44.3
704100,120,-45.2
704200,120,-45.3
704300,120,-45.8
704400,120,-45.8
704500,120,-46.0
704600,120,-45.5
704700,120,-46.0
704800,120,-45.9
704900,120,-45.5
705000,150,-46.0
705100,150,-47.7
705200,150,-49.1
705300,150,-50.0
705400,150,-50.3
705500,150,-49.7
705600,150,-50.1
705700,150,-50.1
705800,150,-49.6
705900,150,-50.3
706000,150,-50.1
706100,150,-49.6
706200,150,-50.1
706300,150,-50.3
706400,150,-49.6
706500,90,-50.1
706600,90,-46.6
706700,90,-41.7
706800,90,-40.1
706900,90,-38.9
707000,90,-37.9
707100,90,-38.0
707200,90,-37.6
707300,90,-38.0
707400,90,-37.9
707500,90,-37.5
707600,90,-38.0
707700,90,-38.0
707800,90,-37.6
707900,90,-38.0
708000,30,-38.0
708100,30,-32.7
708200,30,-24.9
708300,30,-18.6
708400,30,-13.9
708500,30,-10.7
708600,30,-8.3
708700,30,-6.6
708800,30,-5.5
708900,30,-4.7
709000,30,-4.1
709100,30,-3.8
709200,30,-3.6
709300,30,-3.4
709400,30,-3.4
709500,150,-3.2
709600,150,-24.6
709700,150,-43.5
709800,150,-47.8
709900,150,-48.9
710000,150,-49.9
710100,150,-50.1
710200,150,-49.7
710300,150,-50.3
710400,150,-49.6
710500,150,-50.1
710600,150,-50.3
710700,150,-49.7
710800,150,-50.3
710900,150,-50.1
711000,30,-49.6
711100,30,-43.9
711200,30,-32.9
711300,30,-24.6
711400,30,-18.7
711500,30,-14.0
711600,30,-10.7
711700,30,-8.3
711800,30,-6.8
711900,30,-5.4
712000,30,-4.7
712100,30,-4.2
712200,30,-3.8
712300,30,-3.6
712400,30,-3.4
712500,60,-3.3
712600,60,-7.9
712700,60,-14.4
712800,60,-17.9
712900,60,-20.3
713000,60,-21.6
713100,60,-22.2
713200,60,-23.1
713300,60,-23.3
713400,60,-23.2
713500,60,-23.5
713600,60,-23.3
713700,60,-23.6
713800,60,-23.7
713900,60,-23.3
714000,30,-23.7
714100,30,-20.4
714200,30,-14.9
714300,30,-11.5
714400,30,-8.7
714500,30,-6.8
714600,30,-5.5
714700,30,-4.8
714800,30,-4.2
714900,30,-3.8
715000,30,-3.6
715100,30,-3.4
715200,30,-3.4
715300,30,-3.3
715400,30,-3.2
715500,120,-3.3
715600,120,-19.4
715700,120,-35.7
715800,120,-41.6
715900,120,-43.7
716000,120,-44.3
716100,120,-45.2
716200,120,-45.5
716300,120,-44.9
716400,120,-46.2
716500,120,-45.9
716600,120,-45.5
716700,120,-46.0
716800,120,-45.4
716900,120,-46.0
717000,30,-46.0
717100,30,-39.7
717200,30,-30.1
717300,30,-22.6
717400,30,-16.7
717500,30,-12.8
717600,30,-9.8
717700,30,-7.5
717800,30,-6.1
717900,30,-5.2
718000,30,-4.5
718100,30,-4.1
718200,30,-3.8
718300,30,-3.6
718400,30,-3.4
718500,60,-3.4
718600,60,-7.9
718700,60,-14.5
718800,60,-18.1
718900,60,-19.9
719000,60,-21.4
719100,60,-22.2
719200,60,-22.4
719300,60,-23.3
719400,60,-23.3
719500,60,-23.1
719600,60,-23.3
719700,60,-23.6
719800,60,-23.3
719900,60,-23.6
720000,90,-23.3
720100,90,-27.7
720200,90,-32.8
720300,90,-34.7
720400,90,-36.2
720500,90,-36.7
720600,90,-36.9
720700,90,-37.4
720800,90,-37.6
720900,90,-37.4
721000,90,-37.8
721100,90,-37.9
721200,90,-37.5
721300,90,-37.8
721400,90,-37.8
721500,150,-37.5
721600,150,-43.2
721700,150,-48.5
721800,150,-49.2
721900,150,-50.0
722000,150,-50.3
722100,150,-49.6
722200,150,-50.3
722300,150,-50.1
722400,150,-49.6
722500,150,-50.3
722600,150,-50.4
722700,150,-49.7
722800,150,-50.3
722900,150,-50.4
723000,60,-49.7
723100,60,-45.2
723200,60,-37.1
723300,60,-32.7
723400,60,-29.6
723500,60,-27.3
723600,60,-26.5
723700,60,-25.6
723800,60,-24.9
723900,60,-24.7
724000,60,-24.5
724100,60,-24.1
724200,60,-24.1
724300,60,-24.0
724400,60,-23.7
724500,90,-24.1
724600,90,-28.1
724700,90,-32.7
724800,90,-35.5
724900,90,-36.7
725000,90,-37.0
725100,90,-37.5
725200,90,-37.6
725300,90,-37.2
725400,90,-37.6
725500,90,-37.9
725600,90,-37.4
725700,90,-37.9
725800,90,-37.9
725900,90,-37.4
726000,30,-37.9
726100,30,-33.0
