t_ms,pwm_heater,temp_C
51301,220,63.50
51401,220,63.69
51501,220,63.69
51601,220,63.69
51701,220,63.88
51801,220,63.88
51901,220,64.07
52001,220,64.07
52101,220,64.07
52201,220,64.26
52301,220,64.26
52401,220,64.26
52501,220,64.45
52601,220,64.45
52701,220,64.64
52801,220,64.64
52901,220,64.83
53001,220,64.83
53101,220,64.83
53201,220,65.02
53301,220,65.02
53401,220,65.21
53501,220,65.21
53601,220,65.39
53701,220,65.39
53801,220,65.39
53901,220,65.58
54001,220,65.58
54101,220,65.77
54201,220,65.77
54301,220,65.77
54401,220,65.95
54501,220,65.95
54601,220,65.95
54701,220,66.14
54801,220,66.14
54901,220,66.32
55001,220,66.32
55101,220,66.32
55201,220,66.50
55301,220,66.50
55401,220,66.69
55501,220,66.69
55601,220,66.87
55701,220,66.87
55801,220,67.05
55901,220,67.05
56001,220,67.05
56101,220,67.23
56201,220,67.23
56301,220,67.41
56401,220,67.41
56501,220,67.59
56601,220,67.59
56701,220,67.59
56801,220,67.77
56901,220,67.77
57001,220,67.77
57101,220,67.95
57201,220,67.95
57301,220,68.13
57401,220,68.13
57501,220,68.31
57601,220,68.31
57701,220,68.31
57801,220,68.49
57901,220,68.49
58001,220,68.67
58101,220,68.67
58201,220,68.67
58301,220,68.84
58401,220,68.84
58501,220,69.02
58601,220,69.02
58701,220,69.19
58801,220,69.19
58901,220,69.37
59001,220,69.37
59101,220,69.55
59201,220,69.55
59301,220,69.55
59401,220,69.72
59501,220,69.72
59601,220,69.72
59701,220,69.89
59801,220,69.89
59901,220,70.07
60001,220,70.07
60101,220,70.24
60201,220,70.24
60301,220,70.24
60401,220,70.41
60501,220,70.41
60601,220,70.59
60701,220,70.59
60801,220,70.76
60901,220,70.76
61001,220,70.93
61101,220,70.93
61201,220,71.10
61301,220,71.10
61401,220,71.27
61501,220,71.27
61601,220,71.27
61701,220,71.44
61801,220,71.44
61901,220,71.61
62001,220,71.61
62101,220,71.78
62201,220,71.78
62301,220,71.78
62401,220,71.95
62501,220,71.95
62601,220,72.12
62701,220,72.12
62801,220,72.12
62901,220,72.12
63001,220,72.29
63101,220,72.29
63201,220,72.45
63301,220,72.45
63401,220,72.62
63501,220,72.62
63601,220,72.79
63701,220,72.96
63801,220,72.96
63901,220,72.96
64001,220,73.12
64101,220,73.12
64201,220,73.29
64301,220,73.29
64401,220,73.45
64501,220,73.45
64601,220,73.62
64701,220,73.62
64801,220,73.78
64901,220,73.78
65001,220,73.78
65101,220,73.95
65201,220,73.95
65301,220,74.11
65401,220,74.11
65501,220,74.11
65601,220,74.28
65701,220,74.28
65801,220,74.44
65901,220,74.44
66001,220,74.60
66101,220,74.60
66201,220,74.77
66301,220,74.77
66401,220,74.93
66501,220,74.93
66601,220,75.09
66701,220,75.09
66801,220,75.09
66901,220,75.25
